Dish Name,Description,Cuisine,Meal Type,Diet,Tags,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Allergens
Chickpea & Spinach Curry Luncheon Platter,"A healthy vegan lunch option made with chickpeas, roasted spinach, coconut cream, and a spicy curry sauce. Tags: Plant-based, healthy, protein-rich, dairy-free, gluten-free, nut-free, common allegrens (no shellfish). Calories (Kcal): 140",French,Lunch,Non-Veg,"French, Lunch, Non-Veg",,8.9,5.7,21.3,None
Apricot & Walnut Veggie Luncheon Platter,"A mix of fresh and cooked vegetables, tossed with apricots and walnuts for a healthy and delicious lunch option.",French,Lunch,Non-Veg,"French, Lunch, Non-Veg, Vegan, Gluten-Free, Nut-Free, Low Calorie, Protein-Packed, No Soy Sauce",190,8.5,8.5,20.5,"Nuts, Gluten, Soy, Dairy"
Mushroom Stuffed Chicken Thigh Luncheonette,"A mushroom stuffed chicken thigh lunchbox that's full of protein, fat, carbs, and allegrens.",French,Lunch,Non-Veg,"French, Lunch, Non-Veg, Vegetarian, Gluten-free, Nuts-free, Soy-free",302,25.7,16.9,12.4,None
Fried Rice with Vegetables and Chicken,"A savory fried rice dish with a variety of veggies and chicken, perfect for a satisfying and nutritious lunch or dinner.",French,Lunch,Non-Veg,"French, Lunch, Non-Veg, Vegan, Gluten-free, Low-Carb, High-Protein, Nut-Free, Dairy-Free, Soy-Free, Egg-Free",215,16,7.5,30,None
Vegetable Curry with Cauliflower and Egg,A creamy veggie-packed curry that's perfect for a vegan-friendly dinner.,French,Dinner,Veg,"French, Dinner, Veg, vegetarian, gluten-free, dairy-free, nut-free, soy-free, eggs",150,8,4,23,None
Vegetable Curry,"A hearty and flavorful curry made with aromatic spices like cinnamon, nutmeg, and cardamom, mixed with a variety of vegetables and a bold coconut milk sauce. Perfect for a meal full of protein, fiber, and vitamins!",French,Dinner,Veg,"French, Dinner, Veg",296,15.47,8.37,30.53,None
Vegetable Curry,A healthy and delicious vegan curry that's perfect for vegetarians and those looking to reduce their meat intake.,French,Dinner,Veg,"French, Dinner, Veg, Vegetarian, Vegan, Gluten-free, Nut-free, Dairy-free, Egg-free",250,12,10.5,30.5,None
Vegetable Fried Rice,"A hearty and wholesome vegan dinner that's full of fiber-rich vegetables. This recipe uses fresh ingredients like sushi rice, tofu, vegetables, and mushrooms, making it a healthy alternative to traditional fried rice. Calories (kcal): 200",French,Dinner,Veg,"French, Dinner, Veg",,4,16,39,None
Vegetable Curry Pasta,"A veggie-packed pasta dish made with chickpeas and tomato sauce, topped with roasted sweet potatoes, spinach, and cashews. Calories (kcal): 325",French,Dinner,Veg,"French, Dinner, Veg",,10.8,24.5,19.7,None
Fresh Vegetable Curry,"A flavorful and healthy veg dinner with fresh vegetables like spinach, broccoli, and sweet potatoes. Perfect for a family-friendly meal that's easy to make but still packed with nutrients.",French,Dinner,Veg,"French, Dinner, Veg, Plant-Based, Vegan, Gluten-Free, Low Calorie, High Protein, Low Fat",207,13.5,9.8,28.4,None
Vegetable and Chickpea Curry with Rice,A healthy and tasty vegan dinner that's perfect for vegetarians and vegans alike!,French,Dinner,Veg,"French, Dinner, Veg, Vegan, Mediterranean, Gluten-free, High Protein, Low Carb",403,26.5,17.5,59.5,None
Vegetable Curry,A hearty vegetarian curry with a hint of Thai spices.,French,Dinner,Non-Veg,"French, Dinner, Non-Veg, Vegan, Gluten-Free, Low Calorie, High Protein, Nut-Free, Dairy Free, Sesame Seed, Coconut Milk, Eggs, Soy, Fish & Shellfish",240,17,9.5,14,None
Vegetable Fried Rice with Shrimp,"A delicious and healthy vegetarian option that includes shrimp for an extra protein boost. It's perfect as a weekday dinner, fitness meal prep, or busy weeknight meal. Calories (kcal): 482",French,Dinner,Non-Veg,"French, Dinner, Non-Veg",,13,27,60,None
Mutton Rogan Josh with Rice Pilaf and Nuts,"A hearty and flavorful mutton rogan josh recipe from French cuisine that incorporates rice pilaf and nuts to add some extra nutrition and texture. Serves 4. Calories: 275 kcal (1,600 calories)",French,Dinner,Non-Veg,"French, Dinner, Non-Veg",28.8,30,9,30,None
Vegetarian Omelette with Spinach and Mushrooms,"A healthy vegan breakfast option made with eggs, spinach, mushrooms, and veggies.",Continental,Breakfast,Veg,"Continental, Breakfast, Veg, Vegan, Healthy, Breakfast, Eggs, Protein, Faat, Carbohydrates, Common Allegrens (if any)",348,20,19,15,None
Vegetable Breakfast Bowl,A wholesome veggies bowl that'll leave you feeling full and energized!,Continental,Breakfast,Veg,"Continental, Breakfast, Veg, Vegan, Gluten-free, Dairy-free, Low-carb, Protein booster, High fiber, Healthy fats, No added sugars, Allium vegetables (onion, garlic, shallots), Whole grains (quinoa, brown rice, oatmeal), Nutrient-dense ingredients",130,7,2,28,"No added sugars, dairy, gluten, nutty, egg, shellfish"
Vegetable Hash Bowl with Breakfast Potatoes,"A nutritious breakfast that is quick and easy to prepare. It includes roasted potatoes, eggs, cheese, spinach, mushrooms, and tomatoes.",Continental,Breakfast,Veg,"Continental, Breakfast, Veg, Breakfast, Healthy, Vegetarian, Vegan",504,27,,49,None
Vegetable Omelette,"A vegan version of the classic omelette, packed with a variety of vegetables and seasoned with herbs. Ideal for breakfast or brunch as it's low in calories and high in nutrients. It also contains some common allergens (dairy, gluten, nuts, shellfish) to give a more accurate picture of its nutritional value.",Continental,Breakfast,Veg,"Continental, Breakfast, Veg, Vegan, Vegetarian, Gluten-Free, Dairy-Free, Nut-Free, Shellfish-Free, Egg-Free, Common Allergens, Protein-Rich",80,2.5,6.5,1,None
Vegetable Breakfast Bowl,"A healthy vegan breakfast option featuring a colorful blend of vegetables such as kale, spinach, cherry tomatoes, avocado, and quinoa for the perfect balance of fiber, vitamins, and minerals.",Continental,Breakfast,Veg,"Continental, Breakfast, Veg, Vegan, Gluten-free, Low-calorie, High-protein, Nut-free, Dairy-free, Egg-free, Sesame-free, Soy-free, No shellfish.",197,22,,18,None
Spicy Veggie Breakfast Burrito,"A breakfast dish made with fresh spinach, mushrooms, avocado, black beans, and taco seasoning. It contains 300 calories, 14g protein, 28g fat, and 17g carbohydrates.",Continental,Breakfast,Veg,"Continental, Breakfast, Veg, vegan breakfast burrito, healthy breakfast, plant-based dish",300,14,,17,None
Vegetable & Spinach Frittata,A delicious breakfast that's high in protein and fiber!,Continental,Breakfast,Non-Veg,"Continental, Breakfast, Non-Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free",403,12,9,38,None
Vegetarian Breakfast Roll,A savory and filling breakfast option that's packed with protein and fiber.,Continental,Breakfast,Non-Veg,"Continental, Breakfast, Non-Veg",206,14.5,9.8,31.7,"Nuts, Dairy, Gluten, Eggs, Shellfish"
Vegetable Curry Toast,"A delicious vegetarian breakfast dish that's high in fiber, protein, and heart-healthy fats!",Continental,Breakfast,Non-Veg,"Continental, Breakfast, Non-Veg",204,6,17,45,None
Chikki Flap Jack,"A crunchy and spicy chikki made with fruits like apples, bananas, pears, plums, oranges, mangoes, etc. and mixed with raisins, almonds, seeds, nuts, and spices like cumin powder, coriander powder, red chili powder, garam masala, and honey to give a unique taste.",Continental,Breakfast,Non-Veg,"Continental, Breakfast, Non-Veg",50,2,1,9,None
Vegetable Pulao,"A creamy and flavorful vegan pulao made with spinach, potatoes, coriander, cumin, turmeric, chilli powder, garam masala, and cooked basmati rice. The dish is garnished with chopped parsley and can be seasoned with salt to taste (optional).",Continental,Breakfast,Non-Veg,"Continental, Breakfast, Non-Veg, vegan, creamy, flavorful, pulao",120,7,3,25,None
Spinach & Mushroom Toast,A hearty breakfast that's full of flavor and good for you! This is a delicious spinach and mushroom toast that pairs perfectly with some whole grains like sliced bread. It's a quick and easy meal that'll leave you feeling full and satisfied!,Continental,Breakfast,Non-Veg,"Continental, Breakfast, Non-Veg",250,7,14,36,None
Green Vegetable & Chickpea Curry,"A healthy and nutritious breakfast option that's rich in fiber, protein, and vitamins. The curry is made with green vegetables (e.g., spinach, kale, broccoli), chickpeas, potatoes, onions, tomatoes, garlic, ginger, and spices (cumin, coriander, turmeric, and paprika). It's served with a side of fresh herbs (e.g., cilantro, parsley, mint) to balance the flavors and add more nutrition.",Continental,Breakfast,Non-Veg,"Continental, Breakfast, Non-Veg, vegan, gluten-free, dairy-free, high protein, low calorie, heart-healthy, low fat, high fiber, high vitamin A, low sodium, high magnesium, rich in antioxidants, etc.",185,17,9,40,None
Continental's Vegetarian Breakfast,"A delicious vegetarian breakfast dish made with roasted chickpeas, grilled tomatoes, avocado, cucumber, and red onion.",Continental,Breakfast,Non-Veg,"Continental, Breakfast, Non-Veg, Non-Vegan Breakfast, Continental Cuisine, Vegetarian Breakfast, Gluten-Free Dishes, Plant-Based Meals, Healthy Eating",170,6.5,,12.3,None
Buddha Bowl,"A vegan-friendly lunch option that features a variety of raw vegetables such as broccoli, kale, sweet potatoes, quinoa, and tofu. The dish is drizzled with a cashew cream sauce made from cashews, tahini, lemon juice, garlic, and ginger. This lunch option contains around 120-150 calories, 16-25g protein, 49-67g fat, and less than 1g carbs per serving.",Continental,Lunch,Veg,"Continental, Lunch, Veg, Vegan, Lentil, Quinoa, Tofu, Vegetarian, Buddha Bowl",120,16,49,1,"Nuts, gluten, soy, shellfish"
Vegetable Lentil Salad,"A delicious vegan lunch option that's high in fiber and protein thanks to the lentils and beans, along with plenty of fresh vegetables and herbs.",Continental,Lunch,Veg,"Continental, Lunch, Veg, Vegan, Gluten-free, Low Calorie, High Protein",180,7,,25,None
Vegetable Curry Luncheon Platter,"A colorful and flavorful vegan lunch dish made with aromatic spices, fresh vegetables, and a creamy sauce.",Continental,Lunch,Veg,"Continental, Lunch, Veg, Vegetarian, Gluten-Free, Soy-Free, Nut-Free, Dairy-Free",270,10,8,34,"Nut-Free, Soy-Free, Gluten-Free, Dairy-Free"
Vegetarian Lentil Curry,"A healthy and tasty vegan curry with aromatic spices like cumin, coriander, and turmeric, made using lentils. This dish is high in protein from the legume and also contains healthy fats from the nuts and coconut oil. It's low in carbs and calories, making it an ideal lunch or dinner option for vegetarians and vegans alike.",Continental,Lunch,Veg,"Continental, Lunch, Veg, Vegan, Lentil, Curry, Healthy, Protein-rich",145,22.6,9.8,3.4,None detected
Vegan Luncheonette Fiesta Bowl,"A delicious and nutritious vegan lunch option, perfect for a quick bite on the go!",Continental,Lunch,Veg,"Continental, Lunch, Veg, Vegan, Gluten-Free, Dairy Free, Nut-Free, Soy-Free, Egg-Free",190,8,13.5,20,None
Vegetable Chowder Bowl - Continental Cuisine,"A hearty and wholesome vegan lunch bowl featuring roasted veggies, a flavorful vegetable broth, and a variety of tasty veggie options.",Continental,Lunch,Veg,"Continental, Lunch, Veg",230,15,4,40,None
Roasted Vegetable Curry,"A hearty and flavorful lunch option that includes roasted vegetables, tofu or chickpeas, and a spicy curry sauce.",Continental,Lunch,Non-Veg,"Continental, Lunch, Non-Veg, Vegan, Lunch, Hearty, Spicy, Vegan, Lunch, Hearty, Spicy",435,17,20,60,None
Vegetarian Mild Spinach Lunch Salad,"A hearty lunch salad made with spinach leaves, roasted chickpeas, sliced avocado, and a light vinaigrette drizzle. High in protein (20g), fat (14g), carbohydrates (7g), and common allergens (dairy, gluten, nuts, shellfish).",Continental,Lunch,Non-Veg,"Continental, Lunch, Non-Veg, vegetarian, mild, lunch salad",568,20,14,7,None
Mint Chutney Munchies,"A fusion of Indian and Continental cuisines, this lunch option features a tangy and spicy mint chutney on top of crisp pita breads, served with roasted sweet potatoes and grilled portobello mushrooms. The dish is packed with protein from the roasted mushrooms, and contains very little sugar or dairy due to the use of Greek yogurt instead of mayonnaise.",Continental,Lunch,Non-Veg,"Continental, Lunch, Non-Veg, Vegetarian, Non-Vegetarian, Continental Cuisine, Gluten-Free, Mint Chutney, Pita Bread, Portobello Mushrooms, Grilled Sweet Potatoes",280,14,6,30,None
Vegetable Curry,"A flavorful and healthy vegan lunch option that is perfect for those who want to incorporate more vegetables into their diets. This dish features a blend of spicy and mild curries made with fresh Indian vegetables such as onions, carrots, bell peppers, and spinach. It is high in fiber, protein, and healthy fats, making it a nutrient-dense and satisfying meal option for those seeking to eat more plant-based foods. Calories (kcal): 305",Continental,Lunch,Non-Veg,"Continental, Lunch, Non-Veg",,17,19,26,None
Masala Butter Naan,"A warm and flavorful Indian naan (flatbread) dish, made with spices such as cumin, coriander, and turmeric for a fragrant, slightly nutty taste. This dish is perfect for a quick, healthy lunch on the go.",Continental,Lunch,Non-Veg,"Continental, Lunch, Non-Veg, Vegan, gluten-free, non-vegetarian, dairy-free, low in calories (kcal), high in protein (g)",120,6,37,8,"If any, dairy, gluten, nut, shellfish"
Spinach Feta & Avocado Sandwich,"A vegan take on a classic sandwich with spinach, feta cheese, and avocado. It's low in calories and high in protein, making it a healthy and satisfying lunch option.",Continental,Lunch,Non-Veg,"Continental, Lunch, Non-Veg, Vegan, Low Calorie, High Protein",290,18,10,20,"Egg, Milk, Nuts, Soy, and Shellsfish"
Veggie Stir-Fry,"A delicious vegan stir-fry featuring mushrooms, tofu, bell peppers, and other vegetables. Suitable for vegetarians and people who follow a plant-based diet. Calories (kcal): 120",Continental,Dinner,Veg,"Continental, Dinner, Veg",120,5,4,12,None
Veggie Curry Noodles,A quick and easy vegan-friendly veggie curry noodle dish with a creamy coconut milk sauce.,Continental,Dinner,Veg,"Continental, Dinner, Veg",210,6,9,35,None
Veggie Garnish,"A spicy and sweet dish made with roasted sweet potatoes, black beans, corn, tomatoes, onions, and spices for a delicious and satisfying vegan meal.",Continental,Dinner,Veg,"Continental, Dinner, Veg, Gluten-free, low-carb, vegan, heart-healthy, high in fiber, low in calories, protein-packed, healthy fats, antioxidant-rich",250,17,12.5,38,"Nuts, dairy products, eggs, soy, shellfish"
Vegetable Curry,"A flavorful and healthy vegetarian dish made with a blend of spices, flavorful vegetables, and coconut milk. Enjoy it as a comforting veggie-friendly meal!",Continental,Dinner,Veg,"Continental, Dinner, Veg",240,10.5,3,36,None
Vegetable Curry with Basmati Rice,"This vegan and vegetarian meal is packed with flavorful vegetables, spices, and basmati rice. The curry is cooked to perfection and served over steamed white or brown basmati rice.",Continental,Dinner,Veg,"Continental, Dinner, Veg, Vegetarian, Vegan, Continental Cuisine",280,14,12,65,None
Vegetarian Paneer Curry,A protein-rich vegan meal that is packed with flavor and health benefits,Continental,Dinner,Veg,"Continental, Dinner, Veg, Vegan, Gluten-free, Nut-free, Dairy-free",160,7,2.5,34,None
Vegetarian Chickpea Curry,"This hearty and flavorful curry is made with chickpeas, coconut milk, tomatoes, ginger, garlic, cumin, coriander, and spices. It's gluten-free and contains only natural ingredients, making it a healthy and satisfying vegan dinner option.",Continental,Dinner,Veg,"Continental, Dinner, Veg",294,15,6.5,30.5,None listed in the dishe name as it is a vegan dish only containing natural ingredients.
Kadhi Pav,"A popular street food in India, typically made with boiled chickpeas (garbanzo beans), tamarind, and a spicy ketchup sauce, topped with fresh coriander leaves.",Continental,Dinner,Non-Veg,"Continental, Dinner, Non-Veg, Vegetarian/Non-Vegetarian, Spicy, Non-Alcoholic, Gluten-Free, Dairy-Free",186,9,4,15,None
Chicken Korma,"A flavorful dish made with chicken, mixed vegetables, and creamy sauce of yogurt, butter, and spices.",Continental,Dinner,Non-Veg,"Continental, Dinner, Non-Veg, Non-veg | Vegetarian | Mediterranean | Continental cuisine, Non-veg | Vegetarian | Mediterranean | Continental cuisine",420,18,,63,None
"Khaidaar Aloo"" (roasted potatoes and garlic in spicy tomato sauce)","Spiced roasted potatoes, a perfect meal to make your taste buds sing!",Continental,Dinner,Non-Veg,"Continental, Dinner, Non-Veg, Vegetarian, Thermal Dish, Spicy Tomato Sauce, Roast Potatoes",170,6,,,None
Spinach Chickpea Curry,"A creamy and delicious vegan curry with nutty spinach and crunchy roasted chickpeas. Perfect for vegetarians and vegans, this meal is also packed with protein from the chickpeas and healthy fats from the avocado and nuts.",Continental,Dinner,Non-Veg,"Continental, Dinner, Non-Veg, Vegan, Spicy, Gluten-Free, Whole Foods, Nut Free",350,16,20,47,None
Spinach and Chickpea Fava Bean Hash,"A healthy breakfast that's perfect for vegetarians or those who follow a vegan diet. Includes spinach, chickpeas, garlic, and feta cheese, making it both flavorful and nutritious. Also includes fat-free yogurt as a good source of protein.",Mediterranean,Breakfast,Veg,"Mediterranean, Breakfast, Veg, Vegetarian, Mediterranean cuisine, Healthy breakfast, Fava beans, Spinach, Chickpea, Yogurt",290,10,8.5,47.5,None
Vegetable Omelette Bowl,A filling and healthy breakfast option made with veggies and omelettes!,Mediterranean,Breakfast,Veg,"Mediterranean, Breakfast, Veg, Vegan, Gluten-free, Nut-free, Mediterranean cuisine, Low calorie, High protein, High fiber",250,16,,,None
Veggie Omelette with Chickpea Fritters,"A healthy and satisfying vegan breakfast dish featuring roasted chickpeas, spinach, and arugula in a creamy omelette. It's low in calories, high in protein, fiber, and vitamins!",Mediterranean,Breakfast,Veg,"Mediterranean, Breakfast, Veg, Vegetarian, Gluten-Free, Whole30, Low Carb, High Protein, Low Calorie",524,19,27,16,None
Vegetable Frittatas with Feta and Spinach,"A delicious vegan breakfast dish made with roasted vegetables, feta cheese, and spinach. It's perfect for those who are looking to add more greens to their diets.",Mediterranean,Breakfast,Veg,"Mediterranean, Breakfast, Veg, Vegetarian, Gluten-free, Whole30, Low-carb, Nut-free, Dairy-free, Egg-free",275,16,8,30,"Nuts, Dairy, Eggs, Shellfish"
Moroccan Mushroom and Spinach Breakfast Bowl,"A filling and nutritious vegan breakfast bowl bursting with protein, fiber, and antioxidants from mushrooms and spinach. This recipe is also low in carbs and high in protein, making it a perfect choice for vegetarians or anyone looking to add more healthy protein to their diet.",Mediterranean,Breakfast,Veg,"Mediterranean, Breakfast, Veg, Breakfast, Vegan, Moroccan, Mediterranean, Protein-packed, Low-carb",380,15,9,12,None
Veggie Booty Breakfast Bowl,A hearty and filling vegan breakfast that’s perfect for those with dietary restrictions or busy mornings.,Mediterranean,Breakfast,Veg,"Mediterranean, Breakfast, Veg, Gluten-free, Plant-based, Nut-free, Dairy-free, Low-carb, Keto-friendly",500,12.8,,39.6,None
Mediterranean Breakfast Quiche,"A filling breakfast dish featuring spinach, mushrooms, creamy quinoa, cheese, and a flaky crust topped with feta. Low in calories and high in protein, this recipe is perfect for those who want a hearty and nutritious meal first thing in the morning.",Mediterranean,Breakfast,Non-Veg,"Mediterranean, Breakfast, Non-Veg, Vegetarian, Gluten-Free, Nut-Free, Dairy-Free, Egg-Free, Whole30 Approved",195,12,8,26,None
Greek Yogurt Parfait,"A healthy and delicious breakfast option that combines Greek yogurt with a variety of fresh fruits such as berries, mango, and pineapple. The parfait contains approximately 300-400 calories per serving (depending on the portion size) and is made with dairy-free Greek yogurt that is low in fat but still provides a good source of protein for post-workout recovery. Common allergens present in this dish include milk, eggs, wheat, and tree nuts.",Mediterranean,Breakfast,Non-Veg,"Mediterranean, Breakfast, Non-Veg, Vegan, Gluten-Free, Nut-Free, Low Carb, Vegan, Gluten-Free, Nut-Free, Low Carb",300,15,9,16,None
Lentil and Spinach Stew with Roasted Sweet Potatoes,"A delicious lentil stew featuring roasted sweet potatoes, spinach, crumbled feta cheese, and a tangy lemon-garlic sauce. Calories (kcal): 290",Mediterranean,Lunch,Veg,"Mediterranean, Lunch, Veg",,13,,45,None
Mediterranean Vegetable Luncheon Platter,"A colorful and delicious lunch option that's perfect for vegetarians or anyone looking for a healthy, flavorful meal. It features a variety of vibrant vegetables such as spinach, zucchini, eggplant, tomatoes, bell peppers, and more, paired with a creamy olive oil dip made from freshly chopped herbs, garlic, and lemon juice. Calories (Kcal): 150",Mediterranean,Lunch,Veg,"Mediterranean, Lunch, Veg",,8,4,27,None
Sweet Potato and Quinoa Bowl with Spinach Feta Salad,"A satisfying vegan lunch featuring roasted sweet potatoes, cooked quinoa, baby spinach, sautéed veggies, and a tangy feta dressing. This dish is rich in fiber, healthy fats, and protein from the nuts and seeds, as well as plant-based proteins like lentils and black beans. The salad offers a good balance of greens, nuts, veggies, and healthy fats. Calories: 395 (120 calories per serving)",Mediterranean,Lunch,Veg,"Mediterranean, Lunch, Veg",,42,17,46,None
Mediterranean Cuisine Vegetable Luncheon,"A fresh and healthy vegan lunch recipe that includes a variety of colorful vegetables, lean proteins, and fiber-rich grains. This meal is perfect for those who want to keep their weight in check while indulging in tasty, plant-based options.",Mediterranean,Lunch,Veg,"Mediterranean, Lunch, Veg, Vegan, Luncheon, Mediterranean, Recipe",240,16,5,37,None
Plant-Based Shrimp Stir-Fry,"A delicious and nutritious vegan lunch option featuring shrimp, veggies, and a tangy sauce.",Mediterranean,Lunch,Veg,"Mediterranean, Lunch, Veg",500,21,38,9,None
Mediterranean Lentil Curry,"This vegan lentil curry features aromatic spices and fresh herbs for a delicious and nutritious veggie-based meal. High in fiber, protein, and healthy fats, it's an excellent choice for a hearty vegetarian lunch or dinner.",Mediterranean,Lunch,Veg,"Mediterranean, Lunch, Veg, Vegan, Lentil Curry, Mediterranean, Low Carb, Gluten-Free, Protein-Rich, Healthy Fats",125,8.4,3.6,,"Milk (dairy), Nuts, Eggs, Shellfish, Soybeans"
Veggie Delight Pizza,"A colorful pizza topped with sweet potato, mushrooms, parmesan cheese, and garlic sauce",Mediterranean,Lunch,Veg,"Mediterranean, Lunch, Veg, Low-Carb, Healthy, Vegetarian, Gluten-Free, Nut-Free, Dairy-Free, Egg-Free",180,6,7,23,"Nutty, Dairy, Egg, Gluten-Free"
Vegetable Lentil Chickpea Pasta,"A healthy vegan lunch option made with nutrient-dense vegetables, chickpeas, and lentils. This dish is packed full of protein, fiber, and healthy fats from the nuts and seeds. Calories (KCal): 143",Mediterranean,Lunch,Veg,"Mediterranean, Lunch, Veg",,7.8,8.2,16.9,None
Lemon & Spinach Salad with Roasted Chickpeas,"This light and refreshing salad is perfect for a summer lunch or dinner as it's packed with fresh veggies, protein, and healthy fats. The roasted chickpeas provide an added crunch and nutty flavor to the dish, while the bright taste of lemon adds a refreshing twist. Enjoy!",Mediterranean,Lunch,Non-Veg,"Mediterranean, Lunch, Non-Veg",302,5.5,,42,None
Lemon Herb Salad Sandwich,"A refreshing and healthy lunch option made with fresh ingredients like lemons, herbs, avocado, tomatoes, and bread. It’s low in calories and high in nutrients.",Mediterranean,Lunch,Non-Veg,"Mediterranean, Lunch, Non-Veg, Light, Gluten-Free, Nut-Free, Vegan, Low-Carb",120,2,,39,None
Megalodon Seafood Meze,"A Mediterranean-inspired lunch box that offers a variety of seafood with fresh vegetables, spices, and toppings like parsley, tzatziki sauce, garlic, olives, and feta cheese. Calories (Kcal): 120",Mediterranean,Lunch,Non-Veg,"Mediterranean, Lunch, Non-Veg",,7,6,35,"Nuts, dairy, gluten, nut, shellfish"
Spicy Veggie Bowl,"A healthy and filling lunch that's packed with protein and veggies! This spicy vegetable bowl features roasted sweet potatoes, sautéed kale, balsamic glazed tofu, crisp veggies, creamy hummus, and a tangy tahini dressing. Calories (kcal): 310",Mediterranean,Lunch,Non-Veg,"Mediterranean, Lunch, Non-Veg",,28,,54,None
Mediterranean Grilled Chicken Salad Luncheonette,A healthy and delicious grilled chicken salad with a variety of vegetables and a light dressing. It's perfect for lunch or as a post-workout meal.,Mediterranean,Lunch,Non-Veg,"Mediterranean, Lunch, Non-Veg",230,17,14,8,None
Spicy Vegan Grilled Cheese,"A vegan sandwich made with grilled portobello mushrooms, avocado, tomato, and vegan cheese slices. The dish contains 250 calories, 19g protein, 45g fat (17g saturated), 11g carbs, and 5g fiber. Common allergens are milk, gluten, nuts, and eggs.",Mediterranean,Lunch,Non-Veg,"Mediterranean, Lunch, Non-Veg, Vegan, Grilled Cheese, Mediterranean Cuisine",250,19,45,11,None
Vegetable Stuffed Squash,"A delicious and wholesome vegan dish featuring roasted squash stuffed with a hearty mixture of lentils, spinach, almonds, and whole grain flour.",Mediterranean,Dinner,Veg,"Mediterranean, Dinner, Veg, Vegan, Whole Grain, Gluten-free, Nut-Free",150,7,9,28,"Gluten, Nuts, Dairy, Eggs, Soy, Wheat"
Roasted Vegetable and Herb Salad with Pistachios,"A colorful and healthy Mediterranean-inspired salad with roasted veggies, fresh herbs, pistachios, and a tangy lemon dressing. Easy to make and full of vitamins and minerals.",Mediterranean,Dinner,Veg,"Mediterranean, Dinner, Veg, Gluten-free, Vegan, Low-carb, Whole30 friendly, Paleo, Low-sodium",298,16,15,20,None
Veggie Shepherd's Pie,"A vegan version of a classic comfort food. Includes beets, carrots, and spinach for vegetables, quinoa for protein, and mashed potatoes as the crust. Calories: 350 (18g fat, 27g carbs, 9g protein), Protein: 8g (vegan)",Mediterranean,Dinner,Veg,"Mediterranean, Dinner, Veg",350,,,6,None
Vegetable-Based Pasta Primavera,A colorful and nutritious vegan pasta dish that's perfect for those who enjoy a balanced diet.,Mediterranean,Dinner,Veg,"Mediterranean, Dinner, Veg, Mediterranean cuisine, vegetarian, gluten-free, dairy-free, low fat",305,19,24,,None
Mediterranean Veggie Roast,"This vegan dinner recipe consists of roasted zucchini, spinach, and mushrooms, infused with Mediterranean flavors such as olive oil, garlic, oregano, and lemon. It's a satisfying and sustainable dish that will impress your guests!",Mediterranean,Dinner,Veg,"Mediterranean, Dinner, Veg, Vegetarian, Gluten-free, Dairy-free, Nut-free, Seafood-free, Spicy",215,7,18,9,None
Roasted Brussels Sprouts with Meditterranean Green Beans,"A healthy vegan meal with a creamy dressing and crunchy roasted vegetables. Perfect for those seeking a Mediterranean diet with vegan protein, fiber, and vitamins!",Mediterranean,Dinner,Veg,"Mediterranean, Dinner, Veg, Vegan, Mediterranean, Brussels Sprouts, Green Beans, Dressing, Roast, Protein, Fat, Carb, Allegrens",460,8.5,12.5,25.5,None
Mediterranean Stuffed Mushrooms,"A healthy veggie kebab disch featuring mushrooms stuffed with a spiced veggies mix, topped with olive oil and lemon juice.",Mediterranean,Dinner,Veg,"Mediterranean, Dinner, Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free, egg-free",150,7,,8,None
Lamb Shank with Roasted Vegetables,"A slow-cooked lamb shank with roasted vegetables is a healthy and satisfying Mediterranean cuisine dish that combines tender lamb, rich vegetables, and aromatic spices. The dish includes:",Mediterranean,Dinner,Non-Veg,"Mediterranean, Dinner, Non-Veg, Vegetarian, Lamb, Spices, Mediterranean, Protein",409,28,14,37,None
Mediterranean Chickpea Soup with Vegetables,"A hearty and nourishing soup perfect for chilly evenings featuring chickpeas, sautéed vegetables, and a tangy yogurt sauce. Suitable for a vegan diet or those following a low-carb diet.",Mediterranean,Dinner,Non-Veg,"Mediterranean, Dinner, Non-Veg, Mediterranean cuisine, Vegan, Low-carb diet, Chickpea, Sautéed vegetable, Yogurt sauce",403,12.5,7.9,15.8,None
Mediterranean Grilled Pesto Pasta,"A tasty and healthy pasta dish featuring pesto sauce and roasted vegetables, accompanied by fresh herbs for an added burst of flavor. Low in calories (250 kcal), protein (17g), fat (6g), carbohydrates (30g), and common allergens (dairy, gluten, nuts, and soy).",Mediterranean,Dinner,Non-Veg,"Mediterranean, Dinner, Non-Veg, Mediterranean cuisine, pasta with veggies, grilled, pesto sauce, vegetarian., Mediterranean cuisine, pasta with veggies, grilled, pesto sauce, vegetarian.",250,17,6,30,None
Mediterranean Chickpea Salad,"A colorful and delicious salad that combines chickpeas, kalamata olives, feta cheese, parsley, mint, and extra virgin olive oil for a healthy and flavorful meal.",Mediterranean,Dinner,Non-Veg,"Mediterranean, Dinner, Non-Veg",315,9,20,68,None
Grilled Vegetable Curry with Spinach,A creamy and savory vegetarian curry made with grilled vegetables and aromatic spices. Suitable for non-vegetarians as it contains eggs. Kcal: 320,Mediterranean,Dinner,Non-Veg,"Mediterranean, Dinner, Non-Veg",,8,15,24,None
